Ip,ASN,Break
103.232.241.2,AS59193,
104.44.12.6,AS8075,
104.44.30.191,AS8075,
104.44.32.83,AS8075,0
125.18.176.145,AS9498,
198.200.130.17,AS8075,
104.44.29.98,AS8075,
20.112.250.133,AS8075,0
66.250.250.201,AS174,
154.54.87.117,AS174,
130.117.0.2,AS174,
104.44.28.140,AS8075,
104.44.18.223,AS8075,0
66.250.250.9,AS174,
154.24.29.222,AS174,
104.44.234.222,AS8075,
104.44.22.198,AS8075,0
66.28.3.113,AS174,
104.44.239.18,AS8075,
104.44.28.255,AS8075,
104.44.16.80,AS8075,0
