Ip,ASN,Break
103.232.241.2,AS59193,
104.44.12.6,AS8075,
13.107.213.68,AS8068,0
125.19.240.221,AS9498,
104.44.23.254,AS8075,
13.107.246.48,AS8075,0
66.250.250.201,AS174,
154.24.1.213,AS174,
149.14.157.154,AS174,
104.44.235.108,AS8075,0
66.250.250.9,AS174,
154.54.85.197,AS174,
104.44.232.38,AS8075,0
66.28.3.113,AS174,
154.54.1.153,AS174,
154.54.41.114,AS174,0
