Ip,ASN,Break
103.232.241.2,AS59193,
157.240.68.238,AS32934,
157.240.38.169,AS32934,
157.240.16.174,AS32934,0
125.19.240.221,AS9498,
116.119.94.26,AS55536,
157.240.68.40,AS32934,
129.134.51.253,AS33182,
163.70.138.174,AS32934,0
66.250.250.201,AS174,
129.134.44.76,AS32934,
157.240.32.190,AS32934,
129.134.55.21,AS32934,
163.70.131.174,AS32934,0
66.250.250.9,AS174,
154.54.47.33,AS174,
157.240.241.174,AS32934,0
66.28.3.113,AS174,
38.104.187.186,AS174,
157.240.241.174,AS32934,0
