Id,ip,latitute,longitude
1,103.232.241.2,17.385000228881836,78.48670196533203
2,104.44.12.6,47.68050003051758,-122.12094116210938
3,104.44.30.191,31.581329345703125,-84.15190887451172
4,104.44.32.83,41.141841888427734,-104.77919006347656
5,125.18.176.145,17.385000228881836,78.48670196533203
6,198.200.130.17,47.68050003051758,-122.12094116210938
7,104.44.29.98,47.68050003051758,-122.12094116210938
8,20.112.250.133,41.600440979003906,-93.60652160644531
9,66.250.250.201,30.314599990844727,-81.68160247802734
10,154.54.87.117,38.906898498535156,-77.02839660644531
11,130.117.0.2,42.337039947509766,-71.07202911376953
12,104.44.28.140,47.68050003051758,-122.12094116210938
13,104.44.18.223,47.68050003051758,-122.12094116210938
14,66.250.250.9,30.314599990844727,-81.68160247802734
15,154.24.29.222,38.906898498535156,-77.02839660644531
16,104.44.234.222,47.68050003051758,-122.12094116210938
17,104.44.22.198,47.68050003051758,-122.12094116210938
18,66.28.3.113,39.10771179199219,-94.53961181640625
19,104.44.239.18,52.309051513671875,4.940189838409424
20,104.44.28.255,47.68050003051758,-122.12094116210938
21,104.44.16.80,38.519561767578125,-89.99420166015625
