Id,ip,latitute,longitude
1,103.232.241.2,17.385000228881836,78.48670196533203
2,72.14.195.128,37.419158935546875,-122.07540893554688
3,142.250.228.81,37.38801956176758,-122.07431030273438
4,142.250.67.46,-33.868900299072266,151.2071075439453
5,125.18.176.145,17.385000228881836,78.48670196533203
6,116.119.57.102,28.542800903320312,77.28050231933594
7,209.85.251.159,37.419158935546875,-122.07540893554688
8,142.250.195.46,28.635299682617188,77.2249984741211
9,66.250.250.201,30.314599990844727,-81.68160247802734
10,154.54.88.17,38.906898498535156,-77.02839660644531
11,72.14.212.77,37.419158935546875,-122.07540893554688
12,108.170.244.241,37.419158935546875,-122.07540893554688
13,209.85.247.109,37.419158935546875,-122.07540893554688
14,172.253.62.139,37.419158935546875,-122.07540893554688
15,66.250.250.9,30.314599990844727,-81.68160247802734
16,154.54.12.106,32.8054313659668,-96.8142318725586
17,66.110.56.139,32.781471252441406,-96.82147216796875
18,216.239.59.168,37.419158935546875,-122.07540893554688
19,142.251.163.100,37.38801956176758,-122.07431030273438
20,66.28.3.113,39.10771179199219,-94.53961181640625
21,66.110.96.62,40.74406051635742,-74.00459289550781
22,142.251.227.116,37.38801956176758,-122.07431030273438
23,142.251.163.100,37.38801956176758,-122.07431030273438
