Id,ip,latitute,longitude
1,103.232.241.2,17.385000228881836,78.48670196533203
2,157.240.68.238,38.98371887207031,-77.38275909423828
3,157.240.38.169,37.45903015136719,-122.1860580444336
4,157.240.16.174,37.45903015136719,-122.1860580444336
5,125.19.240.221,17.385000228881836,78.48670196533203
6,116.119.94.26,28.542800903320312,77.28050231933594
7,157.240.68.40,38.98371887207031,-77.38275909423828
8,129.134.51.253,37.45399856567383,-122.17900085449219
9,163.70.138.174,53.35388946533203,-6.243330001831055
10,66.250.250.201,30.314599990844727,-81.68160247802734
11,129.134.44.76,37.45399856567383,-122.17900085449219
12,157.240.32.190,37.45903015136719,-122.1860580444336
13,129.134.55.21,37.45399856567383,-122.17900085449219
14,163.70.131.174,53.35388946533203,-6.243330001831055
15,66.250.250.9,30.314599990844727,-81.68160247802734
16,154.54.47.33,38.906898498535156,-77.02839660644531
17,157.240.241.174,40.7589111328125,-73.97901916503906
18,66.28.3.113,39.10771179199219,-94.53961181640625
19,38.104.187.186,42.337039947509766,-71.07202911376953
20,157.240.241.174,40.7589111328125,-73.97901916503906
