Id,ip,latitute,longitude
1,103.232.241.2,17.385000228881836,78.48670196533203
2,115.247.100.29,19.076000213623047,72.87770080566406
3,125.18.176.145,17.385000228881836,78.48670196533203
4,116.119.112.90,28.542800903320312,77.28050231933594
5,94.31.40.4,51.5111083984375,-0.03999999910593
6,150.222.68.31,43.15439987182617,-77.6155014038086
7,150.222.68.14,43.15439987182617,-77.6155014038086
8,66.250.250.201,30.314599990844727,-81.68160247802734
9,154.54.42.101,29.77042007446289,-95.41058349609375
10,154.54.6.78,37.330528259277344,-121.83822631835938
11,38.88.155.218,29.75152015686035,-95.46099090576172
12,66.250.250.9,30.314599990844727,-81.68160247802734
13,154.54.91.193,34.04563903808594,-118.24163818359375
14,38.104.61.42,29.77042007446289,-95.41058349609375
15,66.28.3.113,39.10771179199219,-94.53961181640625
16,154.54.2.29,21.32217025756836,-157.81410217285156
17,154.54.90.58,25.762859344482422,-80.31195831298828
