Id,ip,latitute,longitude
1,103.232.241.2,17.385000228881836,78.48670196533203
2,104.44.12.6,47.68050003051758,-122.12094116210938
3,13.107.213.68,47.68050003051758,-122.12094116210938
4,125.19.240.221,17.385000228881836,78.48670196533203
5,104.44.23.254,52.309051513671875,4.940189838409424
6,13.107.246.48,47.68050003051758,-122.12094116210938
7,66.250.250.201,30.314599990844727,-81.68160247802734
8,154.24.1.213,38.906898498535156,-77.02839660644531
9,149.14.157.154,50.11090087890625,8.682100296020508
10,104.44.235.108,47.68050003051758,-122.12094116210938
11,66.250.250.9,30.314599990844727,-81.68160247802734
12,154.54.85.197,26.381250381469727,-80.17057037353516
13,104.44.232.38,37.38859939575195,-122.01677703857422
14,66.28.3.113,39.10771179199219,-94.53961181640625
15,154.54.1.153,41.84885025024414,-87.67124938964844
16,154.54.41.114,38.906898498535156,-77.02839660644531
